framework,item_type,parent,skill,learning_outcome,lo_bloom_level,assessment_method,assessment_bloom,skill_outcome_score,outcome_assessment_score,composite_score,program,university
ECSF,skill,Chief Information Security Officer (CISO),Assess and enhance an organisation’s cybersecurity posture,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.4,1.0,0.64,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Assess and enhance an organisation’s cybersecurity posture,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.4,0.488,0.435,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Assess and enhance an organisation’s cybersecurity posture,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.2,1.0,0.52,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Assess and enhance an organisation’s cybersecurity posture,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.2,0.65,0.38,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Analyse and implement cybersecurity policies, certifications, standards, methodologies and frameworks","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.25,1.0,0.55,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Analyse and implement cybersecurity policies, certifications, standards, methodologies and frameworks","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.25,0.488,0.345,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Analyse and comply with cybersecurity-related laws, regulations and legislations","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.143,1.0,0.486,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Analyse and comply with cybersecurity-related laws, regulations and legislations","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.143,0.488,0.281,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Implement cybersecurity recommendations and best practices,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.4,1.0,0.64,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Implement cybersecurity recommendations and best practices,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.4,0.488,0.435,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
