Work Role,Work Role Description,Work Role ID,OPM Code (Fed Use),Link to TKS List,,Click to view TKS Catalog
"OVERSIGHT and GOVERNANCE (OG) – Provides leadership, management, direction, and advocacy so the organization may effectively manage cybersecurity-related risks to the enterprise and conduct cybersecurity work. ",,,,,,
Communications Security (COMSEC) Management,Responsible for managing the Communications Security (COMSEC) resources of an organization.,OG-WRL-001,723,Click to view OG-WRL-001 TKS List,,
Cybersecurity Policy and Planning,"Responsible for developing and maintaining cybersecurity plans, strategy, and policy to support and align with organizational cybersecurity initiatives and regulatory compliance.",OG-WRL-002,752,Click to view OG-WRL-002 TKS List,,
Cybersecurity Workforce Management,"Responsible for developing cybersecurity workforce plans, assessments, strategies, and guidance, including cybersecurity-related staff training, education, and hiring processes. Makes adjustments in response to or in anticipation of changes to cybersecurity-related policy, technology, and staffing needs and requirements. Authors mandated workforce planning strategies to maintain compliance with legislation, regulation, and policy.",OG-WRL-003,751,Click to view OG-WRL-003 TKS List,,
Cybersecurity Curriculum Development,"Responsible for developing, planning, coordinating, and evaluating cybersecurity awareness, training, or education content, methods, and techniques based on instructional needs and requirements.",OG-WRL-004,711,Click to view OG-WRL-004 TKS List,,
Cybersecurity Instruction,"Responsible for developing and conducting cybersecurity awareness, training, or education. ",OG-WRL-005,712,Click to view OG-WRL-005 TKS List,,
Cybersecurity Legal Advice,"Responsible for providing cybersecurity legal advice and recommendations, including monitoring related legislation and regulations.",OG-WRL-006,731,Click to view OG-WRL-006 TKS List,,
Executive Cybersecurity Leadership,"Responsible for establishing vision and direction for an organization's cybersecurity operations and resources and their impact on digital and physical spaces. Possesses authority to make and execute decisions that impact an organization broadly, including policy approval and stakeholder engagement.",OG-WRL-007,901,Click to view OG-WRL-007 TKS List,,
Privacy Compliance ,"Responsible for developing and overseeing an organization's privacy compliance program and staff, including establishing and managing privacy-related governance, policy, and incident response needs.",OG-WRL-008,732,Click to view OG-WRL-008 TKS List,,
Product Support Management,"Responsible for planning, estimating costs, budgeting, developing, implementing, and managing product support strategies in order to field and maintain the readiness and operational capability of systems and components.",OG-WRL-009,803,Click to view OG-WRL-009 TKS List,,
Program Management ,"Responsible for leading, coordinating, and the overall success of a defined program. Includes communicating about the program and ensuring alignment with agency or organizational  priorities.",OG-WRL-010,801,Click to view OG-WRL-010 TKS List,,
Secure Project Management,"Responsible for overseeing and directly managing technology projects. Ensures cybersecurity is built into projects to protect the organization's critical infrastructure and assets, reduce risk, and meet organizational goals. Tracks and communicates project status and demonstrates project value to the organization.",OG-WRL-011,802,Click to view OG-WRL-011 TKS List,,
Security Control Assessment,"Responsible for conducting independent comprehensive assessments of management, operational, and technical security controls and control enhancements employed within or inherited by a system to determine their overall effectiveness. ",OG-WRL-012,612,Click to view OG-WRL-012 TKS List,,
Systems Authorization,"Responsible for operating an information system at an acceptable level of risk to organizational operations, organizational assets, individuals, other organizations, and the nation.",OG-WRL-013,611,Click to view OG-WRL-013 TKS List,,
Systems Security Management,"Responsible for managing the cybersecurity of a program, organization, system, or enclave. ",OG-WRL-014,722,Click to view OG-WRL-014 TKS List,,
Technology Portfolio Management,Responsible for managing a portfolio of technology investments that align with the overall needs of mission and enterprise priorities.,OG-WRL-015,804,Click to view OG-WRL-015 TKS List,,
Technology Program Auditing,Responsible for conducting evaluations of technology programs or their individual components to determine compliance with published standards. ,OG-WRL-016,805,Click to view OG-WRL-016 TKS List,,
"DESIGN and DEVELOPMENT (DD) – Conducts research, conceptualizes, designs, develops, and tests secure technology systems, including on perimeter and cloud-based networks. ",,,,,,
